DateTime,Index_Price,BTC_Volatility_Index_DVOL
2024-06-27 12:00:00,60904.722096,47.38
2024-06-28 00:00:00,61539.544167,45.72
2024-06-28 12:00:00,61436.320612,44.38
2024-06-29 00:00:00,60318.269025,44.3
2024-06-29 12:00:00,60861.678261,43.23
2024-06-30 00:00:00,60915.154923,43.46
2024-06-30 12:00:00,61325.970173,43.35
2024-07-01 00:00:00,62112.601624,43.76
2024-07-01 12:00:00,62986.659929,44.25
2024-07-02 00:00:00,63169.922696,42.86
2024-07-02 12:00:00,62631.517639,42.29
2024-07-03 00:00:00,62005.85957,41.23
2024-07-03 12:00:00,60587.850339,43.38
2024-07-04 00:00:00,60034.498647,45.22
2024-07-04 12:00:00,58030.465394,46.27
2024-07-05 00:00:00,58174.458681,47.53
2024-07-05 12:00:00,54554.235889,48.19
2024-07-06 00:00:00,56535.868865,48.7
2024-07-06 12:00:00,56609.301454,47.65
2024-07-07 00:00:00,57985.597071,47.99
2024-07-07 12:00:00,57551.048267,48.87
2024-07-08 00:00:00,56824.378735,50.55
2024-07-08 12:00:00,56713.585938,50.4
2024-07-09 00:00:00,56478.581859,50.9
2024-07-09 12:00:00,57457.267215,50.04
2024-07-10 00:00:00,57868.938485,48.45
2024-07-10 12:00:00,58770.572031,48.66
2024-07-11 00:00:00,57537.324712,48.57
2024-07-11 12:00:00,58222.497798,48.14
2024-07-12 00:00:00,57497.396075,46.49
2024-07-12 12:00:00,57139.321016,46.14
2024-07-13 00:00:00,57811.559667,45.17
2024-07-13 12:00:00,58265.619135,45.35
2024-07-14 00:00:00,58791.080212,49.18
2024-07-14 12:00:00,60127.187832,48.5
2024-07-15 00:00:00,60452.628891,48.89
2024-07-15 12:00:00,62790.879012,51.31
2024-07-16 00:00:00,63852.274334,54.13
2024-07-16 12:00:00,63258.106471,55.52
2024-07-17 00:00:00,64792.160885,56.49
2024-07-17 12:00:00,65291.863069,58.07
2024-07-18 00:00:00,64416.546568,55.87
2024-07-18 12:00:00,64769.791261,55.93
2024-07-19 00:00:00,63730.541263,55.99
2024-07-19 12:00:00,63956.592991,56.57
2024-07-20 00:00:00,66931.421658,59.26
2024-07-20 12:00:00,66608.00877,59.62
2024-07-21 00:00:00,67260.282001,61.51
2024-07-21 12:00:00,66856.189556,61.46
