Time,total_volume
6/26/2023,20535.1661572062
6/27/2023,20850.3848062665
6/28/2023,17288.736175511
6/29/2023,19869.6736176934
6/30/2023,43220.9060366417
7/1/2023,7070.43838105967
7/2/2023,8243.25798462462
7/3/2023,18900.6275361627
7/4/2023,13095.7046555571
7/5/2023,15450.6662271967
7/6/2023,29424.652812151
7/7/2023,18228.7519484073
7/8/2023,6296.51108551917
7/9/2023,6532.11215271403
7/10/2023,20196.6197954594
7/11/2023,15759.0957452295
7/12/2023,22482.4713979729
7/13/2023,39725.6278101204
7/14/2023,31257.8081494738
7/15/2023,4866.47213755385
7/16/2023,7304.2782354026
7/17/2023,17897.5695022136
7/18/2023,17917.0099317481
7/19/2023,14092.1820386752
7/20/2023,18348.049273333
7/21/2023,12260.3254264498
7/22/2023,5693.18087524209
7/23/2023,7540.89207242194
7/24/2023,23562.5007757396
7/25/2023,11381.2003020166
7/26/2023,15730.313269103
7/27/2023,12034.0979706182
7/28/2023,11604.0096323975
7/29/2023,4650.81617420895
7/30/2023,7042.1417380558
7/31/2023,13232.9060056744
8/1/2023,26726.0895904625
8/2/2023,26194.3238566827
8/3/2023,14469.1711787994
8/4/2023,12464.5800786728
8/5/2023,4396.98475745854
8/6/2023,4432.75620358491
8/7/2023,15381.316473139
8/8/2023,25256.7369775457
8/9/2023,17077.575892274
8/10/2023,12672.8381819657
8/11/2023,10415.5892350414
8/12/2023,3415.17861560689
8/13/2023,3944.25360854832
8/14/2023,12907.5528124305
8/15/2023,10657.0661799604
8/16/2023,16233.3594310401
8/17/2023,49267.1215086339
8/18/2023,33407.9072683224
8/19/2023,10030.3804926662
8/20/2023,7417.78772743556
8/21/2023,15813.5261187296
8/22/2023,19018.7731600936
8/23/2023,24404.8891099501
8/24/2023,15869.9308880084
8/25/2023,17646.5037378036
8/26/2023,3363.80307622193
8/27/2023,3736.21614739199
8/28/2023,10714.0493047459
8/29/2023,38162.9422754866
8/30/2023,18178.9731231037
8/31/2023,26677.1199762114
9/1/2023,24763.7195939149
9/2/2023,6954.06454286116
9/3/2023,6177.51297336372
9/4/2023,9455.71369413845
9/5/2023,10898.5320931876
9/6/2023,14797.4420795506
9/7/2023,17565.4565685571
9/8/2023,17662.9175160444
9/9/2023,4027.84286175368
9/10/2023,7789.81646161413
9/11/2023,22325.5496213941
9/12/2023,32152.2134968154
9/13/2023,16843.094858244
9/14/2023,22306.5326886242
9/15/2023,15945.2100796653
9/16/2023,6604.21938003966
9/17/2023,5420.28742472846
9/18/2023,28463.2048229937
9/19/2023,22768.2149400909
9/20/2023,19457.8601266105
9/21/2023,18766.5921581582
9/22/2023,13973.0117947324
9/23/2023,4883.80285386498
9/24/2023,9080.4819103218
9/25/2023,17797.8771333449
9/26/2023,11613.3854318516
9/27/2023,22193.5860255808
9/28/2023,27169.2796243487
9/29/2023,18869.0446903689
9/30/2023,6650.01484091437
10/1/2023,15040.2605024189
10/2/2023,37902.7398174474
10/3/2023,20335.1529026708
10/4/2023,15865.4738202189
10/5/2023,21268.588639804
10/6/2023,20701.4050950311
10/7/2023,5627.20053993395
10/8/2023,6545.83391860094
10/9/2023,18245.8441860291
10/10/2023,15890.1767410688
10/11/2023,25722.6528852338
10/12/2023,13800.3825632888
10/13/2023,14797.6177826112
10/14/2023,5062.91556644149
10/15/2023,9685.38806901453
10/16/2023,56941.709882258
10/17/2023,21460.3426306421
10/18/2023,18341.7138934502
10/19/2023,20379.6649127671
10/20/2023,33409.4887799912
10/21/2023,11363.1561817086
10/22/2023,9586.77954162558
10/23/2023,57222.7363932915
10/24/2023,63517.8850473485
10/25/2023,31020.2287178596
10/26/2023,25184.3275753143
10/27/2023,22475.2422445923
10/28/2023,8045.74086231867
10/29/2023,10620.9567676908
10/30/2023,18419.6067463044
10/31/2023,16359.1393216062
11/1/2023,27197.5355485681
11/2/2023,23001.3631324359
11/3/2023,20441.5734452712
11/4/2023,7834.32408980391
11/5/2023,9378.41836728174
11/6/2023,11391.7390374636
11/7/2023,21225.846593128
11/8/2023,19101.9857350893
11/9/2023,48565.6109725837
11/10/2023,24785.4597367858
11/11/2023,10210.7448083312
11/12/2023,6405.74748732066
11/13/2023,18966.4982382023
11/14/2023,27372.5773664677
11/15/2023,32037.3386466712
11/16/2023,30265.0534492475
11/17/2023,21514.9474374268
11/18/2023,6367.30182422744
11/19/2023,8783.57890497125
11/20/2023,24262.1043063594
11/21/2023,34283.1286538532
11/22/2023,29982.3358593703
11/23/2023,13337.3831385706
11/24/2023,29037.0697966527
11/25/2023,7069.85593002579
11/26/2023,11491.043564368
11/27/2023,21232.4651391938
11/28/2023,28619.3169124982
11/29/2023,22498.5423080617
11/30/2023,13517.8784179658
12/1/2023,27075.3571028272
12/2/2023,14698.8053706485
12/3/2023,13005.8245773313
12/4/2023,38846.9856609761
12/5/2023,41461.0223638592
12/6/2023,29158.8260288176
12/7/2023,23263.0323815921
12/8/2023,23294.3605391491
12/9/2023,10636.725399554
12/10/2023,8045.6856769365
12/11/2023,44461.9414432904
12/12/2023,22169.7967677907
12/13/2023,26277.9189908246
12/14/2023,24895.3180019097
12/15/2023,17748.6632569166
12/16/2023,8840.78466054377
12/17/2023,12614.8718229211
